21:44:21 INFO    train | config: configs\retriever.yaml + ['name=retriever_b128', 'data.batch_size=128']
22:12:22 INFO    qar.training.trainer | step   8500 | loss=2.0507 nce=2.0507 acc=0.4827 grad_norm=2.8649 lr=0.0002 steps_per_s=5.1707 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:12:41 INFO    qar.training.trainer | step   8600 | loss=2.0636 nce=2.0636 acc=0.4833 grad_norm=2.8420 lr=0.0002 steps_per_s=5.2921 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:12:59 INFO    qar.training.trainer | step   8700 | loss=2.0276 nce=2.0276 acc=0.4872 grad_norm=2.8797 lr=0.0002 steps_per_s=5.5081 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:13:18 INFO    qar.training.trainer | step   8800 | loss=2.0428 nce=2.0428 acc=0.4862 grad_norm=2.8328 lr=0.0002 steps_per_s=5.2125 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:13:39 INFO    qar.training.trainer | step   8900 | loss=2.0437 nce=2.0437 acc=0.4818 grad_norm=2.8532 lr=0.0002 steps_per_s=4.8187 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:14:00 INFO    qar.training.trainer | step   9000 | loss=2.0536 nce=2.0536 acc=0.4860 grad_norm=2.8396 lr=0.0002 steps_per_s=4.6272 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:14:03 INFO    qar.training.trainer | step   9000 | EVAL val/loss=2.1653 val/mrr=0.5900 val/recall@1=0.4653 val/recall@5=0.7341 val/recall@10=0.8198 val/mean_rank=7.4529
22:14:03 INFO    qar.training.trainer | new best val/recall@1=0.4653
22:14:19 INFO    qar.training.trainer | step   9100 | loss=2.0299 nce=2.0299 acc=0.4887 grad_norm=2.8706 lr=0.0002 steps_per_s=5.2139 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:14:36 INFO    qar.training.trainer | step   9200 | loss=2.0151 nce=2.0151 acc=0.4910 grad_norm=2.8227 lr=0.0002 steps_per_s=6.0802 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:14:52 INFO    qar.training.trainer | step   9300 | loss=2.0185 nce=2.0185 acc=0.4908 grad_norm=2.8093 lr=0.0002 steps_per_s=6.0670 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:15:09 INFO    qar.training.trainer | step   9400 | loss=2.0152 nce=2.0152 acc=0.4900 grad_norm=2.8017 lr=0.0002 steps_per_s=6.1215 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:15:28 INFO    qar.training.trainer | step   9500 | loss=2.0360 nce=2.0360 acc=0.4859 grad_norm=2.8503 lr=0.0002 steps_per_s=5.2532 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:15:48 INFO    qar.training.trainer | step   9600 | loss=1.9945 nce=1.9945 acc=0.4977 grad_norm=2.7762 lr=0.0002 steps_per_s=4.9219 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:16:07 INFO    qar.training.trainer | step   9700 | loss=1.9538 nce=1.9538 acc=0.5048 grad_norm=2.8316 lr=0.0002 steps_per_s=5.2879 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:16:27 INFO    qar.training.trainer | step   9800 | loss=2.0178 nce=2.0178 acc=0.4943 grad_norm=2.8259 lr=0.0002 steps_per_s=5.0718 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:16:46 INFO    qar.training.trainer | step   9900 | loss=2.0051 nce=2.0051 acc=0.4936 grad_norm=2.8127 lr=0.0002 steps_per_s=5.3116 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:17:04 INFO    qar.training.trainer | step  10000 | loss=1.9727 nce=1.9727 acc=0.5007 grad_norm=2.8168 lr=0.0002 steps_per_s=5.3515 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:17:06 INFO    qar.training.trainer | step  10000 | EVAL val/loss=2.0884 val/mrr=0.6026 val/recall@1=0.4805 val/recall@5=0.7454 val/recall@10=0.8354 val/mean_rank=7.0156
22:17:07 INFO    qar.training.trainer | new best val/recall@1=0.4805
22:17:27 INFO    qar.training.trainer | step  10100 | loss=2.0041 nce=2.0041 acc=0.4952 grad_norm=2.8077 lr=0.0002 steps_per_s=4.4841 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:17:46 INFO    qar.training.trainer | step  10200 | loss=1.9816 nce=1.9816 acc=0.5058 grad_norm=2.8469 lr=0.0002 steps_per_s=5.0107 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:18:04 INFO    qar.training.trainer | step  10300 | loss=1.9848 nce=1.9848 acc=0.4976 grad_norm=2.8124 lr=0.0002 steps_per_s=5.6258 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:18:23 INFO    qar.training.trainer | step  10400 | loss=1.9791 nce=1.9791 acc=0.5009 grad_norm=2.8080 lr=0.0002 steps_per_s=5.4726 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:18:40 INFO    qar.training.trainer | step  10500 | loss=1.9786 nce=1.9786 acc=0.4978 grad_norm=2.7744 lr=0.0002 steps_per_s=5.6194 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:19:00 INFO    qar.training.trainer | step  10600 | loss=1.9556 nce=1.9556 acc=0.4996 grad_norm=2.8050 lr=0.0001 steps_per_s=5.1016 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:19:19 INFO    qar.training.trainer | step  10700 | loss=1.9960 nce=1.9960 acc=0.4969 grad_norm=2.7978 lr=0.0001 steps_per_s=5.1391 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:19:38 INFO    qar.training.trainer | step  10800 | loss=1.9506 nce=1.9506 acc=0.5077 grad_norm=2.7609 lr=0.0001 steps_per_s=5.4736 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:19:57 INFO    qar.training.trainer | step  10900 | loss=1.9801 nce=1.9801 acc=0.5031 grad_norm=2.7845 lr=0.0001 steps_per_s=5.2306 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
